"filename", "language", "PHP", "SCSS", "JSON", "HTML", "XML", "CSS", "JavaScript", "Log", "JSON with Comments", "Markdown", "YAML", "WebAssembly Text Format", "G-Code", "comment", "blank", "total"
"c:\xampp\htdocs\Splint\.VSCodeCounter\2024-03-16_00-50-32\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 6, 192
"c:\xampp\htdocs\Splint\.VSCodeCounter\2024-03-16_00-50-32\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\xampp\htdocs\Splint\.VSCodeCounter\2024-03-16_00-50-32\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\xampp\htdocs\Splint\.VSCodeCounter\2024-03-16_00-50-32\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Splint\.VSCodeCounter\2024-03-16_00-50-32\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\xampp\htdocs\Splint\Splint.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 101
"c:\xampp\htdocs\Splint\SplintExample\css\test.css", "CSS", 0, 0, 0, 0, 0, 969, 0, 0, 0, 0, 0, 0, 0, 0, 145, 1114
"c:\xampp\htdocs\Splint\SplintExample\js\loader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6, 3, 13
"c:\xampp\htdocs\Splint\SplintExample\js\pages\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\Splint\SplintExample\splint.config\_config.style.scss", "SCSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Splint\SplintManager\Splint\SplintCache\ProjectFilePathCache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Splint\SplintManager\Splint\SplintCache\SplintFilePathCache.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Splint\SplintManager\Splint\logs\PHP_debugg_log.log", "Log", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 12, 73
"c:\xampp\htdocs\Splint\SplintManager\Splint\logs\PHP_error_log.log", "Log", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 11, 143
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\_config.style.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\config.dataBase.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\config.dataStorage.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\config.loginGoogle.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\config.main.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\xampp\htdocs\Splint\SplintManager\Splint\splint.config\resource.list.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\xampp\htdocs\Splint\SplintManager\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\Splint\SplintManager\resources\HTML\documentation\API\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"c:\xampp\htdocs\Splint\SplintManager\resources\HTML\documentation\API\types\klipper.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"c:\xampp\htdocs\Splint\SplintManager\resources\HTML\documentation\API\types\unsplash.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"c:\xampp\htdocs\Splint\SplintManager\resources\HTML\documentation\DOMElements\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 24
"c:\xampp\htdocs\Splint\SplintManager\resources\HTML\documentation\DOMElements\types\buttons\button.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
